par,sx_m,rx_m,offset_m,midpoint_m
0,2475.0,2525.0,50.0,2500.0
1,2425.0,2575.0,150.0,2500.0
2,2375.0,2625.0,250.0,2500.0
3,2325.0,2675.0,350.0,2500.0
4,2275.0,2725.0,450.0,2500.0
5,2225.0,2775.0,550.0,2500.0
6,2175.0,2825.0,650.0,2500.0
7,2125.0,2875.0,750.0,2500.0
8,2075.0,2925.0,850.0,2500.0
9,2025.0,2975.0,950.0,2500.0
10,1975.0,3025.0,1050.0,2500.0
11,1925.0,3075.0,1150.0,2500.0
12,1875.0,3125.0,1250.0,2500.0
13,1825.0,3175.0,1350.0,2500.0
14,1775.0,3225.0,1450.0,2500.0
15,1725.0,3275.0,1550.0,2500.0
16,1675.0,3325.0,1650.0,2500.0
17,1625.0,3375.0,1750.0,2500.0
18,1575.0,3425.0,1850.0,2500.0
19,1525.0,3475.0,1950.0,2500.0
20,1475.0,3525.0,2050.0,2500.0
21,1425.0,3575.0,2150.0,2500.0
22,1375.0,3625.0,2250.0,2500.0
23,1325.0,3675.0,2350.0,2500.0
24,1275.0,3725.0,2450.0,2500.0
