index,coordx,coordz
0,500,10
1,505,10
2,510,10
3,515,10
4,520,10
5,525,10
6,530,10
7,535,10
8,540,10
9,545,10
10,550,10
11,555,10
12,560,10
13,565,10
14,570,10
15,575,10
16,580,10
17,585,10
18,590,10
19,595,10
20,600,10
21,605,10
22,610,10
23,615,10
24,620,10
25,625,10
26,630,10
27,635,10
28,640,10
29,645,10
30,650,10
31,655,10
32,660,10
33,665,10
34,670,10
35,675,10
36,680,10
37,685,10
38,690,10
39,695,10
40,700,10
41,705,10
42,710,10
43,715,10
44,720,10
45,725,10
46,730,10
47,735,10
48,740,10
49,745,10
50,750,10
51,755,10
52,760,10
53,765,10
54,770,10
55,775,10
56,780,10
57,785,10
58,790,10
59,795,10
60,800,10
61,805,10
62,810,10
63,815,10
64,820,10
65,825,10
66,830,10
67,835,10
68,840,10
69,845,10
70,850,10
71,855,10
72,860,10
73,865,10
74,870,10
75,875,10
76,880,10
77,885,10
78,890,10
79,895,10
80,900,10
81,905,10
82,910,10
83,915,10
84,920,10
85,925,10
86,930,10
87,935,10
88,940,10
89,945,10
90,950,10
91,955,10
92,960,10
93,965,10
94,970,10
95,975,10
96,980,10
97,985,10
98,990,10
99,995,10
100,1000,10
