index,coordx,coordz
0,60.0,60.0
1,61.0,60.0
2,62.0,60.0
3,63.0,60.0
4,64.0,60.0
5,65.0,60.0
6,66.0,60.0
7,67.0,60.0
8,68.0,60.0
9,69.0,60.0
10,70.0,60.0
11,71.0,60.0
12,72.0,60.0
13,73.0,60.0
14,74.0,60.0
15,75.0,60.0
16,76.0,60.0
17,77.0,60.0
18,78.0,60.0
19,79.0,60.0
20,80.0,60.0
21,81.0,60.0
22,82.0,60.0
23,83.0,60.0
24,84.0,60.0
25,85.0,60.0
26,86.0,60.0
27,87.0,60.0
28,88.0,60.0
29,89.0,60.0
30,90.0,60.0
31,91.0,60.0
32,92.0,60.0
33,93.0,60.0
34,94.0,60.0
35,95.0,60.0
36,96.0,60.0
37,97.0,60.0
38,98.0,60.0
39,99.0,60.0
40,100.0,60.0
41,101.0,60.0
42,102.0,60.0
43,103.0,60.0
44,104.0,60.0
45,105.0,60.0
46,106.0,60.0
47,107.0,60.0
48,108.0,60.0
49,109.0,60.0
50,110.0,60.0
51,111.0,60.0
52,112.0,60.0
53,113.0,60.0
54,114.0,60.0
55,115.0,60.0
56,116.0,60.0
57,117.0,60.0
58,118.0,60.0
59,119.0,60.0
60,120.0,60.0
61,121.0,60.0
62,122.0,60.0
63,123.0,60.0
64,124.0,60.0
65,125.0,60.0
66,126.0,60.0
67,127.0,60.0
68,128.0,60.0
69,129.0,60.0
70,130.0,60.0
71,131.0,60.0
72,132.0,60.0
73,133.0,60.0
74,134.0,60.0
75,135.0,60.0
76,136.0,60.0
77,137.0,60.0
78,138.0,60.0
79,139.0,60.0
80,140.0,60.0
81,141.0,60.0
82,142.0,60.0
83,143.0,60.0
84,144.0,60.0
85,145.0,60.0
86,146.0,60.0
87,147.0,60.0
88,148.0,60.0
89,149.0,60.0
90,150.0,60.0
91,151.0,60.0
92,152.0,60.0
93,153.0,60.0
94,154.0,60.0
95,155.0,60.0
96,156.0,60.0
97,157.0,60.0
98,158.0,60.0
99,159.0,60.0
100,160.0,60.0
101,161.0,60.0
102,162.0,60.0
103,163.0,60.0
104,164.0,60.0
105,165.0,60.0
106,166.0,60.0
107,167.0,60.0
108,168.0,60.0
109,169.0,60.0
110,170.0,60.0
111,171.0,60.0
112,172.0,60.0
113,173.0,60.0
114,174.0,60.0
115,175.0,60.0
116,176.0,60.0
117,177.0,60.0
118,178.0,60.0
119,179.0,60.0
120,180.0,60.0
121,181.0,60.0
122,182.0,60.0
123,183.0,60.0
124,184.0,60.0
125,185.0,60.0
126,186.0,60.0
127,187.0,60.0
128,188.0,60.0
129,189.0,60.0
130,190.0,60.0
131,191.0,60.0
132,192.0,60.0
133,193.0,60.0
134,194.0,60.0
135,195.0,60.0
136,196.0,60.0
137,197.0,60.0
138,198.0,60.0
139,199.0,60.0
140,200.0,60.0
141,201.0,60.0
142,202.0,60.0
143,203.0,60.0
144,204.0,60.0
145,205.0,60.0
146,206.0,60.0
147,207.0,60.0
148,208.0,60.0
149,209.0,60.0
150,210.0,60.0
151,211.0,60.0
152,212.0,60.0
153,213.0,60.0
154,214.0,60.0
155,215.0,60.0
156,216.0,60.0
157,217.0,60.0
158,218.0,60.0
159,219.0,60.0
160,220.0,60.0
161,221.0,60.0
162,222.0,60.0
163,223.0,60.0
164,224.0,60.0
165,225.0,60.0
166,226.0,60.0
167,227.0,60.0
168,228.0,60.0
169,229.0,60.0
170,230.0,60.0
171,231.0,60.0
172,232.0,60.0
173,233.0,60.0
174,234.0,60.0
175,235.0,60.0
176,236.0,60.0
177,237.0,60.0
178,238.0,60.0
179,239.0,60.0
180,240.0,60.0
181,241.0,60.0
182,242.0,60.0
183,243.0,60.0
184,244.0,60.0
185,245.0,60.0
186,246.0,60.0
187,247.0,60.0
188,248.0,60.0
189,249.0,60.0
190,250.0,60.0
191,251.0,60.0
192,252.0,60.0
193,253.0,60.0
194,254.0,60.0
195,255.0,60.0
196,256.0,60.0
197,257.0,60.0
198,258.0,60.0
199,259.0,60.0
200,260.0,60.0
201,261.0,60.0
202,262.0,60.0
203,263.0,60.0
204,264.0,60.0
205,265.0,60.0
206,266.0,60.0
207,267.0,60.0
208,268.0,60.0
209,269.0,60.0
210,270.0,60.0
211,271.0,60.0
212,272.0,60.0
213,273.0,60.0
214,274.0,60.0
215,275.0,60.0
216,276.0,60.0
217,277.0,60.0
218,278.0,60.0
219,279.0,60.0
220,280.0,60.0
221,281.0,60.0
222,282.0,60.0
223,283.0,60.0
224,284.0,60.0
225,285.0,60.0
226,286.0,60.0
227,287.0,60.0
228,288.0,60.0
229,289.0,60.0
230,290.0,60.0
231,291.0,60.0
232,292.0,60.0
233,293.0,60.0
234,294.0,60.0
235,295.0,60.0
236,296.0,60.0
237,297.0,60.0
238,298.0,60.0
239,299.0,60.0
240,300.0,60.0
241,301.0,60.0
242,302.0,60.0
243,303.0,60.0
244,304.0,60.0
245,305.0,60.0
246,306.0,60.0
247,307.0,60.0
248,308.0,60.0
249,309.0,60.0
250,310.0,60.0
251,311.0,60.0
252,312.0,60.0
253,313.0,60.0
254,314.0,60.0
255,315.0,60.0
256,316.0,60.0
257,317.0,60.0
258,318.0,60.0
259,319.0,60.0
260,320.0,60.0
261,321.0,60.0
262,322.0,60.0
263,323.0,60.0
264,324.0,60.0
265,325.0,60.0
266,326.0,60.0
267,327.0,60.0
268,328.0,60.0
269,329.0,60.0
270,330.0,60.0
271,331.0,60.0
272,332.0,60.0
273,333.0,60.0
274,334.0,60.0
275,335.0,60.0
276,336.0,60.0
277,337.0,60.0
278,338.0,60.0
279,339.0,60.0
280,340.0,60.0
281,341.0,60.0
282,342.0,60.0
283,343.0,60.0
284,344.0,60.0
285,345.0,60.0
286,346.0,60.0
287,347.0,60.0
288,348.0,60.0
289,349.0,60.0
290,350.0,60.0
291,351.0,60.0
292,352.0,60.0
293,353.0,60.0
294,354.0,60.0
295,355.0,60.0
296,356.0,60.0
297,357.0,60.0
298,358.0,60.0
299,359.0,60.0
300,360.0,60.0
301,361.0,60.0
302,362.0,60.0
303,363.0,60.0
304,364.0,60.0
305,365.0,60.0
306,366.0,60.0
307,367.0,60.0
308,368.0,60.0
309,369.0,60.0
310,370.0,60.0
311,371.0,60.0
312,372.0,60.0
313,373.0,60.0
314,374.0,60.0
315,375.0,60.0
316,376.0,60.0
317,377.0,60.0
318,378.0,60.0
319,379.0,60.0
320,380.0,60.0
321,381.0,60.0
322,382.0,60.0
323,383.0,60.0
324,384.0,60.0
325,385.0,60.0
326,386.0,60.0
327,387.0,60.0
328,388.0,60.0
329,389.0,60.0
330,390.0,60.0
331,391.0,60.0
332,392.0,60.0
333,393.0,60.0
334,394.0,60.0
335,395.0,60.0
336,396.0,60.0
337,397.0,60.0
338,398.0,60.0
339,399.0,60.0
340,400.0,60.0
341,401.0,60.0
342,402.0,60.0
343,403.0,60.0
344,404.0,60.0
345,405.0,60.0
346,406.0,60.0
347,407.0,60.0
348,408.0,60.0
349,409.0,60.0
350,410.0,60.0
351,411.0,60.0
352,412.0,60.0
353,413.0,60.0
354,414.0,60.0
355,415.0,60.0
356,416.0,60.0
357,417.0,60.0
358,418.0,60.0
359,419.0,60.0
360,420.0,60.0
361,421.0,60.0
362,422.0,60.0
363,423.0,60.0
364,424.0,60.0
365,425.0,60.0
366,426.0,60.0
367,427.0,60.0
368,428.0,60.0
369,429.0,60.0
370,430.0,60.0
371,431.0,60.0
372,432.0,60.0
373,433.0,60.0
374,434.0,60.0
375,435.0,60.0
376,436.0,60.0
377,437.0,60.0
378,438.0,60.0
379,439.0,60.0
380,440.0,60.0
