# index coordx coordz
0 60 60
1 61 60
2 62 60
3 63 60
4 64 60
5 65 60
6 66 60
7 67 60
8 68 60
9 69 60
10 70 60
11 71 60
12 72 60
13 73 60
14 74 60
15 75 60
16 76 60
17 77 60
18 78 60
19 79 60
20 80 60
21 81 60
22 82 60
23 83 60
24 84 60
25 85 60
26 86 60
27 87 60
28 88 60
29 89 60
30 90 60
31 91 60
32 92 60
33 93 60
34 94 60
35 95 60
36 96 60
37 97 60
38 98 60
39 99 60
40 100 60
41 101 60
42 102 60
43 103 60
44 104 60
45 105 60
46 106 60
47 107 60
48 108 60
49 109 60
50 110 60
51 111 60
52 112 60
53 113 60
54 114 60
55 115 60
56 116 60
57 117 60
58 118 60
59 119 60
60 120 60
61 121 60
62 122 60
63 123 60
64 124 60
65 125 60
66 126 60
67 127 60
68 128 60
69 129 60
70 130 60
71 131 60
72 132 60
73 133 60
74 134 60
75 135 60
76 136 60
77 137 60
78 138 60
79 139 60
80 140 60
81 141 60
82 142 60
83 143 60
84 144 60
85 145 60
86 146 60
87 147 60
88 148 60
89 149 60
90 150 60
91 151 60
92 152 60
93 153 60
94 154 60
95 155 60
96 156 60
97 157 60
98 158 60
99 159 60
100 160 60
101 161 60
102 162 60
103 163 60
104 164 60
105 165 60
106 166 60
107 167 60
108 168 60
109 169 60
110 170 60
111 171 60
112 172 60
113 173 60
114 174 60
115 175 60
116 176 60
117 177 60
118 178 60
119 179 60
120 180 60
121 181 60
122 182 60
123 183 60
124 184 60
125 185 60
126 186 60
127 187 60
128 188 60
129 189 60
130 190 60
131 191 60
132 192 60
133 193 60
134 194 60
135 195 60
136 196 60
137 197 60
138 198 60
139 199 60
140 200 60
141 201 60
142 202 60
143 203 60
144 204 60
145 205 60
146 206 60
147 207 60
148 208 60
149 209 60
150 210 60
151 211 60
152 212 60
153 213 60
154 214 60
155 215 60
156 216 60
157 217 60
158 218 60
159 219 60
160 220 60
161 221 60
162 222 60
163 223 60
164 224 60
165 225 60
166 226 60
167 227 60
168 228 60
169 229 60
170 230 60
171 231 60
172 232 60
173 233 60
174 234 60
175 235 60
176 236 60
177 237 60
178 238 60
179 239 60
180 240 60
181 241 60
182 242 60
183 243 60
184 244 60
185 245 60
186 246 60
187 247 60
188 248 60
189 249 60
190 250 60
191 251 60
192 252 60
193 253 60
194 254 60
195 255 60
196 256 60
197 257 60
198 258 60
199 259 60
200 260 60
201 261 60
202 262 60
203 263 60
204 264 60
205 265 60
206 266 60
207 267 60
208 268 60
209 269 60
210 270 60
211 271 60
212 272 60
213 273 60
214 274 60
215 275 60
216 276 60
217 277 60
218 278 60
219 279 60
220 280 60
221 281 60
222 282 60
223 283 60
224 284 60
225 285 60
226 286 60
227 287 60
228 288 60
229 289 60
230 290 60
231 291 60
232 292 60
233 293 60
234 294 60
235 295 60
236 296 60
237 297 60
238 298 60
239 299 60
240 300 60
241 301 60
242 302 60
243 303 60
244 304 60
245 305 60
246 306 60
247 307 60
248 308 60
249 309 60
250 310 60
251 311 60
252 312 60
253 313 60
254 314 60
255 315 60
256 316 60
257 317 60
258 318 60
259 319 60
260 320 60
261 321 60
262 322 60
263 323 60
264 324 60
265 325 60
266 326 60
267 327 60
268 328 60
269 329 60
270 330 60
271 331 60
272 332 60
273 333 60
274 334 60
275 335 60
276 336 60
277 337 60
278 338 60
279 339 60
280 340 60
281 341 60
282 342 60
283 343 60
284 344 60
285 345 60
286 346 60
287 347 60
288 348 60
289 349 60
290 350 60
291 351 60
292 352 60
293 353 60
294 354 60
295 355 60
296 356 60
297 357 60
298 358 60
299 359 60
300 360 60
301 361 60
302 362 60
303 363 60
304 364 60
305 365 60
306 366 60
307 367 60
308 368 60
309 369 60
310 370 60
311 371 60
312 372 60
313 373 60
314 374 60
315 375 60
316 376 60
317 377 60
318 378 60
319 379 60
320 380 60
321 381 60
322 382 60
323 383 60
324 384 60
325 385 60
326 386 60
327 387 60
328 388 60
329 389 60
330 390 60
331 391 60
332 392 60
333 393 60
334 394 60
335 395 60
336 396 60
337 397 60
338 398 60
339 399 60
340 400 60
341 401 60
342 402 60
343 403 60
344 404 60
345 405 60
346 406 60
347 407 60
348 408 60
349 409 60
350 410 60
351 411 60
352 412 60
353 413 60
354 414 60
355 415 60
356 416 60
357 417 60
358 418 60
359 419 60
360 420 60
361 421 60
362 422 60
363 423 60
364 424 60
365 425 60
366 426 60
367 427 60
368 428 60
369 429 60
370 430 60
371 431 60
372 432 60
373 433 60
374 434 60
375 435 60
376 436 60
377 437 60
378 438 60
379 439 60
380 440 60
